"","lpep_pickup_datetime","lpep_dropoff_datetime","PULocationID","DOLocationID","passenger_count","trip_distance","fare_amount","extra","tip_amount","total_amount","payment_type"
"415095","2017-01-13 16:40:05","2017-01-13 17:02:45",166,236,1,2.66,16,1,0,17.8,2
"132618","2017-01-05 07:42:16","2017-01-05 08:09:25",243,238,2,5.8,22.5,0,0,23.3,2
"974520","2017-01-29 00:01:32","2017-01-29 00:19:02",75,79,1,6.25,20.5,0.5,0.01,21.81,1
"685113","2017-01-21 03:33:16","2017-01-21 03:38:24",127,220,1,1.2,6,0.5,0,7.3,2
"945350","2017-01-28 12:42:23","2017-01-28 12:51:38",75,151,1,1.82,9,0,0,9.8,2
"634077","2017-01-19 21:10:26","2017-01-19 21:13:13",83,83,1,0.55,4,0.5,1.59,6.89,1
"223478","2017-01-07 17:01:57","2017-01-07 17:18:30",42,24,1,2.16,11.5,0,0,12.3,2
"508695","2017-01-15 20:06:27","2017-01-16 19:44:38",112,198,1,3.58,14,0.5,0,15.3,1
"448294","2017-01-14 09:33:56","2017-01-14 09:43:42",116,74,1,3.2,12,0,2.56,15.36,1
"226751","2017-01-07 19:47:24","2017-01-07 19:52:02",112,112,1,0.71,5,0,1.74,7.54,1
"432035","2017-01-13 22:51:22","2017-01-13 23:09:32",260,160,1,3.57,14.5,0.5,0,15.8,2
"298997","2017-01-09 23:11:57","2017-01-09 23:27:38",189,80,1,3.78,14.5,0.5,3.16,18.96,1
"974135","2017-01-29 00:44:55","2017-01-29 01:00:22",7,137,1,4.42,15.5,0.5,3.36,20.16,1
"411724","2017-01-13 14:27:04","2017-01-13 14:51:47",256,164,1,4,18.5,0,3.85,23.15,1
"275630","2017-01-09 10:29:02","2017-01-09 10:59:09",244,237,1,7.77,28.5,0,0,29.3,2
"638863","2017-01-19 23:14:25","2017-01-19 23:32:40",33,107,1,5.47,19,0.5,0,20.3,2
"874219","2017-01-26 18:31:50","2017-01-26 18:34:07",116,116,1,0.46,4,1,0,5.8,2
"330420","2017-01-11 00:55:38","2017-01-11 01:07:36",255,260,5,4.05,14.5,0.5,0,15.8,2
"228263","2017-01-07 20:17:34","2017-01-07 20:52:16",226,180,1,8.17,29,0.5,0,30.3,1
"348985","2017-01-11 17:16:28","2017-01-11 17:21:41",166,166,1,0.57,5,1,2.04,8.84,1
"1021927","2017-01-30 14:41:04","2017-01-30 15:04:02",33,80,2,4.24,18,0,0,18.8,2
"186720","2017-01-06 18:45:08","2017-01-06 18:52:46",42,42,1,1.46,7.5,1,0,9.3,2
"172708","2017-01-06 11:02:25","2017-01-06 11:14:23",257,181,1,2.13,10.5,0,3,14.3,1
"587751","2017-01-18 14:57:26","2017-01-18 15:19:19",196,102,1,3.4,16,0,0,16.8,2
"109749","2017-01-04 14:42:01","2017-01-04 15:05:54",226,129,1,3.18,16.5,0,0,17.3,2
"310998","2017-01-10 13:52:57","2017-01-10 14:05:20",166,239,1,2.13,10.5,0,1.7,13,1
"290085","2017-01-09 18:06:34","2017-01-09 18:33:55",17,89,1,3.44,18,1,1.98,23.73,1
"517102","2017-01-16 01:19:19","2017-01-16 01:22:05",166,41,2,0.64,4.5,0.5,0,5.8,2
"8894","2017-01-01 02:35:59","2017-01-01 02:56:41",256,129,1,7.67,24.5,0.5,0,25.8,2
"547364","2017-01-17 09:29:25","2017-01-17 09:34:19",82,129,1,0.66,5,0,0,5.8,2
"1008893","2017-01-30 00:28:39","2017-01-30 00:30:50",255,112,3,0.64,4,0.5,1.06,6.36,1
"840971","2017-01-25 18:59:38","2017-01-25 19:12:26",223,173,1,4.33,15,1,0,16.8,2
"779996","2017-01-23 19:49:38","2017-01-23 19:56:55",152,42,1,1.2,7,1,0,8.8,2
"405441","2017-01-13 10:17:46","2017-01-13 10:32:40",75,237,1,1.44,10.5,0,2.26,13.56,1
"70526","2017-01-03 08:55:21","2017-01-03 09:17:09",33,249,1,3.87,17,0,4.45,22.25,1
"266239","2017-01-08 23:55:35","2017-01-09 00:00:30",14,67,1,1.28,6,0.5,0,7.3,2
"30707","2017-01-01 16:54:14","2017-01-01 17:04:27",76,77,1,2.2,9.5,1,0,11.3,2
"889213","2017-01-27 01:44:28","2017-01-27 02:03:56",156,115,1,5.7,21,0.5,0,22.3,1
"556017","2017-01-17 15:20:34","2017-01-17 15:36:27",82,157,1,2.16,12,0,3.2,16,1
"457990","2017-01-14 15:51:17","2017-01-14 16:01:01",7,223,1,1.52,8,0,0,8.8,2
"943618","2017-01-28 11:53:32","2017-01-28 11:57:37",42,42,1,0.95,5.5,0,0,6.3,2
"1038123","2017-01-30 23:32:14","2017-01-30 23:42:46",41,248,1,5.43,17,0.5,0,18.3,2
"3395","2017-01-01 00:52:23","2017-01-01 01:08:21",80,37,2,2.5,12.5,0.5,2.75,16.55,1
"392182","2017-01-12 21:06:02","2017-01-12 21:16:12",95,95,1,1.6,8.5,0.5,1.95,11.75,1
"290844","2017-01-09 18:50:42","2017-01-09 19:02:09",41,263,1,2,9.5,1,1,12.3,1
"874858","2017-01-26 18:51:24","2017-01-26 18:53:42",41,42,1,0.69,4,1,0,5.8,1
"618919","2017-01-19 14:45:59","2017-01-19 14:49:36",41,42,1,0.78,5,0,0,5.8,2
"984717","2017-01-29 07:10:02","2017-01-29 07:14:16",244,116,1,0.85,5.5,0,0,6.3,2
"402568","2017-01-13 08:33:20","2017-01-13 08:40:50",244,116,1,0.7,6.5,0,0,7.3,2
"556084","2017-01-17 15:32:09","2017-01-17 15:40:27",196,157,1,2.74,10,0,2.88,13.68,1
"622239","2017-01-19 16:38:15","2017-01-19 16:42:40",74,41,1,0.77,5.5,1,0,7.3,2
"55959","2017-01-02 17:10:29","2017-01-02 17:32:54",75,161,1,3.24,16,0,0,16.8,2
"218092","2017-01-07 13:29:05","2017-01-07 13:41:05",256,255,1,1.32,8.5,0,1.86,11.16,1
"286272","2017-01-09 16:07:22","2017-01-09 16:16:20",7,179,1,1.1,7.5,1,0,9.3,2
"282149","2017-01-09 14:53:15","2017-01-09 15:03:24",83,157,1,1.4,8,0,0,8.8,2
"522383","2017-01-16 09:21:50","2017-01-16 09:46:58",181,246,1,7.2,24,0,7.55,37.89,1
"379353","2017-01-12 16:01:30","2017-01-12 16:12:54",177,76,1,1.55,9.5,1,0,11.3,2
"698049","2017-01-21 14:11:36","2017-01-21 14:20:46",41,41,1,0.9,7.5,0,2.45,10.75,1
"993627","2017-01-29 15:33:59","2017-01-29 15:39:56",17,225,5,1.49,6.5,0,0,7.3,2
"1050785","2017-01-31 13:13:02","2017-01-31 13:19:09",75,75,1,0.44,5.5,0,0,6.3,2
"40276","2017-01-01 23:21:13","2017-01-01 23:24:00",61,61,1,0.67,4.5,0.5,0,5.8,2
"502019","2017-01-15 16:43:04","2017-01-15 17:30:03",49,142,2,10.5,38,0,7.75,46.55,1
"110605","2017-01-04 15:22:35","2017-01-04 15:29:54",49,65,1,1.53,7,0,1,8.8,1
"214927","2017-01-07 11:15:55","2017-01-07 11:26:49",33,66,1,1.24,8.5,0,0,9.3,2
"190459","2017-01-06 19:51:12","2017-01-06 20:20:12",36,261,1,5.71,23,1,3.72,30.47,1
"467211","2017-01-14 18:32:01","2017-01-14 18:44:19",83,226,1,1.4,9,0,0,9.8,2
"900636","2017-01-27 12:27:27","2017-01-27 12:39:42",66,13,1,2.19,11,0,1.5,13.3,1
"658607","2017-01-20 16:13:22","2017-01-20 16:22:11",196,82,2,1.63,8.5,1,0,10.3,2
"1069011","2017-01-31 22:34:43","2017-01-31 22:42:46",52,97,1,1.6,7.5,0.5,1.75,10.55,1
"834192","2017-01-25 15:43:41","2017-01-25 15:48:37",7,7,1,0.87,5.5,0,1.89,8.19,1
"882553","2017-01-26 21:24:13","2017-01-26 21:37:21",225,177,1,2.36,11,0.5,0,12.3,2
"732811","2017-01-22 11:38:22","2017-01-22 11:43:04",41,41,6,1.16,6,0,0,6.8,2
"137184","2017-01-05 10:37:25","2017-01-05 10:44:18",17,217,1,0.68,6,0,1,7.8,1
"649252","2017-01-20 10:20:16","2017-01-20 10:33:10",75,166,6,2.03,10.5,0,2.25,13.55,1
"356228","2017-01-11 20:34:25","2017-01-11 20:37:17",49,97,1,0.61,4,0.5,0,5.3,2
"490047","2017-01-15 08:31:55","2017-01-15 08:31:58",243,244,1,0,13,0,0,13,1
"918588","2017-01-27 20:01:42","2017-01-27 20:13:11",65,256,1,3.6,12.5,0.5,0,13.8,2
"1043681","2017-01-31 08:27:31","2017-01-31 08:37:39",66,144,1,2.4,10,0,2.16,12.96,1
"834159","2017-01-25 15:32:06","2017-01-25 15:56:41",65,234,2,3.24,17.5,0,4.58,22.88,1
"598126","2017-01-18 19:25:18","2017-01-18 19:33:48",237,238,5,1.84,8.5,1,0,10.3,2
"283101","2017-01-09 15:05:25","2017-01-09 15:24:13",181,49,1,2.37,13.5,0,2.86,17.16,1
"117913","2017-01-04 18:50:00","2017-01-04 19:01:09",7,7,4,1.25,8.5,1,0,10.3,2
"213988","2017-01-07 10:50:10","2017-01-07 10:53:38",129,260,1,0.77,4.5,0,0,5.3,2
"665369","2017-01-20 18:58:34","2017-01-20 19:02:18",7,226,1,0.38,4.5,1,0,6.3,2
"362967","2017-01-12 00:08:42","2017-01-12 01:30:49",49,17,1,4.56,43,0.5,13.29,57.59,1
"258685","2017-01-08 19:10:23","2017-01-08 19:19:45",255,97,1,2.41,9.5,0,1.5,11.8,1
"104560","2017-01-04 10:15:20","2017-01-04 10:28:48",66,233,1,5.8,18.5,0,3.85,23.15,1
"2792","2017-01-01 00:39:21","2017-01-01 00:44:53",223,7,1,1.07,6,0.5,1.46,8.76,1
"317840","2017-01-10 17:47:14","2017-01-10 17:51:32",166,238,1,0.98,5.5,1,1.46,8.76,1
"697182","2017-01-21 14:10:20","2017-01-21 14:25:54",74,243,1,3.79,15.5,0,0,16.3,2
"741534","2017-01-22 16:17:42","2017-01-22 16:22:22",7,7,1,0.66,5,0,1.16,6.96,1
"682975","2017-01-21 02:03:57","2017-01-21 02:21:04",256,36,1,3.15,13.5,0.5,2.96,17.76,1
"783757","2017-01-23 21:33:29","2017-01-23 22:04:43",190,7,1,12.27,36,0.5,0,37.3,2
"256847","2017-01-08 18:18:34","2017-01-08 18:31:09",106,227,1,2.27,11,0,3.54,15.34,1
"808557","2017-01-24 18:14:13","2017-01-24 18:37:02",260,56,1,3.07,15.5,1,0,17.3,2
"390636","2017-01-12 21:28:44","2017-01-12 21:35:48",166,41,2,1.37,7,0.5,0,8.3,2
"785467","2017-01-23 22:39:46","2017-01-23 22:46:44",181,188,1,2.1,8,0.5,0,9.3,2
"280193","2017-01-09 13:15:49","2017-01-09 13:38:41",116,100,1,6.39,23.5,0,4.86,29.16,1
"996238","2017-01-29 16:40:42","2017-01-29 16:49:21",217,17,1,1.23,6.5,0,0,7.3,2
"641265","2017-01-20 01:32:50","2017-01-20 01:37:38",255,112,1,0.99,5.5,0.5,1.36,8.16,1
"717743","2017-01-21 23:46:33","2017-01-21 23:47:38",42,42,1,0.22,3,0.5,0,4.3,2
"444898","2017-01-14 04:08:39","2017-01-14 04:20:37",166,74,1,1.91,10,0.5,0,11.3,2
"363805","2017-01-12 02:22:04","2017-01-12 02:31:45",116,168,2,1.9,9.5,0.5,0,10.8,2
"291249","2017-01-09 18:01:22","2017-01-09 18:01:32",41,41,1,0.9,2.5,1,0,4.3,3
"785892","2017-01-23 23:20:39","2017-01-23 23:30:00",134,197,1,2.03,8.5,0.5,0,9.8,2
"206505","2017-01-07 02:35:27","2017-01-07 02:39:21",41,41,5,0.96,5.5,0.5,1.36,8.16,1
"653688","2017-01-20 13:02:36","2017-01-20 13:14:26",74,166,1,1.5,9,0,0,9.8,2
"920111","2017-01-27 20:55:30","2017-01-27 21:00:27",74,236,1,1.2,6,0.5,0,7.3,2
"308955","2017-01-10 11:27:50","2017-01-10 11:47:00",66,68,1,4.49,17.5,0,3.29,21.59,1
"11363","2017-01-01 02:08:47","2017-01-01 02:16:27",145,193,2,0.7,7,0.5,0,8.3,2
"528954","2017-01-16 15:13:56","2017-01-16 15:28:01",33,33,1,2.19,10.5,0,2.82,14.12,1
"406836","2017-01-13 11:10:58","2017-01-13 11:48:39",75,233,1,2.84,22,0,0,22.8,2
"744392","2017-01-22 18:31:44","2017-01-22 18:39:48",42,41,1,1.62,8.5,0,1,10.3,1
"417935","2017-01-13 17:25:04","2017-01-13 17:29:04",33,33,1,0.61,4.5,1,0,6.3,2
"939705","2017-01-28 08:31:56","2017-01-28 08:50:41",74,234,1,7.03,22,0,5.7,28.5,1
"474122","2017-01-14 21:44:22","2017-01-14 21:47:56",75,75,1,0.55,4.5,0.5,0,5.8,2
"366862","2017-01-12 08:36:27","2017-01-12 09:28:27",95,234,1,9.46,35.5,0,8.37,50.21,1
"314772","2017-01-10 15:01:22","2017-01-10 15:09:38",146,226,1,1.24,7.5,0,0,8.3,2
"11673","2017-01-01 02:36:01","2017-01-01 02:41:04",41,74,1,0.9,5.5,0.5,0,6.8,2
"385958","2017-01-12 19:32:53","2017-01-12 19:38:17",95,95,1,1.06,5.5,1,1.46,8.76,1
"186706","2017-01-06 18:43:15","2017-01-06 18:53:29",82,138,1,4.03,13.5,1,3.82,19.12,1
"157420","2017-01-05 20:55:32","2017-01-05 21:06:00",116,239,1,4.18,14,0.5,2,17.3,1
"68428","2017-01-03 07:41:38","2017-01-03 07:53:22",166,143,1,2.58,10.5,0,2.26,13.56,1
"408434","2017-01-13 12:54:29","2017-01-13 13:25:45",181,123,1,6.51,25.5,0,0,26.3,2
"95476","2017-01-03 22:08:15","2017-01-03 22:30:23",181,77,1,5.1,18.5,0.5,1,20.8,1
"696820","2017-01-21 14:25:22","2017-01-21 14:46:11",52,22,1,7.46,24,0,0,24.8,2
"189068","2017-01-06 19:23:38","2017-01-06 19:33:30",17,189,1,1.35,8,1,2,11.8,1
"926216","2017-01-27 23:33:44","2017-01-27 23:38:10",95,95,1,0.75,5.5,0.5,0,6.8,2
"198870","2017-01-06 22:20:11","2017-01-06 22:21:14",7,146,1,0.2,3,0.5,0,4.3,2
"1062654","2017-01-31 19:31:00","2017-01-31 19:38:31",129,260,1,1.07,7,1,0,8.8,2
"414198","2017-01-13 16:59:26","2017-01-13 17:10:40",166,41,1,1.27,9,1,0,10.8,2
"51121","2017-01-02 14:16:55","2017-01-02 14:41:32",129,252,1,5.48,21,0,0,21.8,2
"484786","2017-01-15 02:40:18","2017-01-15 02:55:17",112,181,1,6.02,19,0.5,4.06,24.36,1
"209869","2017-01-07 05:09:41","2017-01-07 05:32:53",173,141,2,6.8,22.5,0.5,0,23.8,2
"726834","2017-01-22 03:57:07","2017-01-22 04:09:02",95,82,3,2.1,10.5,0.5,0,11.8,1
"701188","2017-01-21 16:57:07","2017-01-21 17:09:52",92,192,1,1.44,9.5,0,2.06,12.36,1
"195718","2017-01-06 21:38:33","2017-01-06 22:03:12",181,170,5,7.26,24.5,0.5,0,25.8,2
"119698","2017-01-04 19:32:48","2017-01-04 19:35:28",255,256,1,0.48,4,1,1,6.8,1
"921306","2017-01-27 21:24:46","2017-01-27 21:32:57",41,166,1,1.28,7.5,0.5,0,8.8,2
"936153","2017-01-28 03:03:14","2017-01-28 03:07:05",255,112,1,1.32,5.5,0.5,1,7.8,1
"475202","2017-01-14 22:06:44","2017-01-14 22:12:24",129,129,1,0.6,5.5,0.5,1,7.8,1
"1069807","2017-01-31 23:22:51","2017-01-31 23:28:28",82,129,5,1.3,6.5,0.5,0,7.8,2
"292513","2017-01-09 19:11:18","2017-01-09 19:14:13",223,223,1,0.63,4.5,1,1.26,7.56,1
"680774","2017-01-21 01:25:17","2017-01-21 01:47:00",255,197,1,10.79,31.5,0.5,0,32.8,2
"999347","2017-01-29 18:42:46","2017-01-29 18:58:33",75,48,1,4.1,14.5,0,0,15.3,2
"81725","2017-01-03 15:41:41","2017-01-03 15:48:16",181,181,1,0.82,6,0,0,6.8,2
"875603","2017-01-26 18:08:19","2017-01-26 18:29:52",196,129,1,2.19,14,1,0,15.8,2
"30101","2017-01-01 16:16:26","2017-01-01 16:24:40",82,157,1,1.38,7.5,0,2,10.3,1
"740685","2017-01-22 16:07:11","2017-01-22 16:13:47",43,42,1,1.46,7,0,0,7.8,2
"858366","2017-01-26 09:32:43","2017-01-26 09:48:39",65,49,1,1.52,11,0,0,11.8,2
"14423","2017-01-01 03:34:25","2017-01-01 03:40:59",41,151,1,1.11,6.5,0.5,1.56,9.36,1
"950876","2017-01-28 15:34:45","2017-01-28 15:55:22",42,138,1,6.94,23.5,0,0,29.84,2
"125578","2017-01-04 21:00:17","2017-01-04 21:05:26",65,97,1,0.7,5,0.5,0,6.3,2
"255079","2017-01-08 17:38:43","2017-01-08 17:47:07",212,213,1,1.84,8,0,1.76,10.56,1
"1055475","2017-01-31 16:41:40","2017-01-31 16:49:54",260,157,1,1.6,7.5,1,1.86,11.16,1
"651235","2017-01-20 11:04:23","2017-01-20 11:10:59",7,129,1,1.38,7,0,1.95,9.75,1
"830576","2017-01-25 12:57:47","2017-01-25 13:12:59",42,75,1,2.5,12.5,0,0,13.3,2
"953356","2017-01-28 16:52:17","2017-01-28 17:01:48",74,41,1,1.32,8,0,0,8.8,2
"208346","2017-01-07 03:51:22","2017-01-07 04:05:33",112,37,1,2.69,12,0.5,2.66,15.96,1
"125144","2017-01-04 21:59:39","2017-01-04 22:10:41",226,82,2,1.82,9.5,0.5,0,10.8,2
"921004","2017-01-27 21:38:26","2017-01-27 22:01:55",255,79,1,3.15,17,0.5,3.66,21.96,1
"419559","2017-01-13 18:15:50","2017-01-13 19:45:39",75,216,2,19.62,68,1,0,75.34,2
"293933","2017-01-09 20:06:18","2017-01-09 20:10:12",189,189,1,0.6,4.5,0.5,1,6.8,1
"37279","2017-01-01 21:54:13","2017-01-01 21:59:38",25,25,1,0.85,5.5,0.5,0,6.8,2
"891072","2017-01-27 06:06:22","2017-01-27 06:13:39",7,7,1,1.27,7,0,0,7.8,2
"1049735","2017-01-31 12:17:21","2017-01-31 12:27:19",166,239,1,1.51,8.5,0,1.86,11.16,1
"309940","2017-01-10 12:40:10","2017-01-10 12:46:49",83,129,1,1.74,8,0,0,8.8,2
"699167","2017-01-21 15:07:14","2017-01-21 15:16:42",7,223,1,1.52,8.5,0,1,10.3,1
"349777","2017-01-11 17:35:19","2017-01-11 18:04:32",74,142,1,3.8,20,1,4.35,26.15,1
"833769","2017-01-25 14:00:00","2017-01-25 14:01:38",207,207,1,0,3,0,0,3.8,2
"308340","2017-01-10 11:09:57","2017-01-10 11:24:25",174,147,1,6.23,19.5,0,4.06,24.36,1
"896890","2017-01-27 10:02:52","2017-01-27 10:26:36",41,142,1,3.71,17.5,0,4.58,22.88,1
"237766","2017-01-08 03:10:59","2017-01-08 03:18:08",74,141,1,2.54,9,0.5,1,11.3,1
"179471","2017-01-06 15:44:13","2017-01-06 16:06:05",166,237,1,3.07,16,0,2.52,19.32,1
"955206","2017-01-28 17:04:16","2017-01-28 17:07:29",17,17,1,0.5,4,0,0,4.8,1
"921632","2017-01-27 21:16:16","2017-01-27 21:19:23",7,7,1,0.43,4,0.5,0,5.3,2
"629849","2017-01-19 19:41:10","2017-01-19 19:50:03",228,195,1,2.15,9.5,1,2.26,13.56,1
"527701","2017-01-16 14:56:46","2017-01-16 15:09:01",181,190,3,1.8,10,0,0,10.8,2
"1002864","2017-01-29 20:53:40","2017-01-29 20:59:32",75,74,1,0.92,6,0.5,1.46,8.76,1
"222352","2017-01-07 16:13:50","2017-01-07 16:33:19",33,106,1,2.4,13.5,0,2.86,17.16,1
"184673","2017-01-06 17:40:31","2017-01-06 17:47:06",25,25,1,0.6,6,1,1.55,9.35,1
"257574","2017-01-08 18:36:10","2017-01-08 18:56:51",41,185,1,8.4,25.5,0,0,26.3,1
"997826","2017-01-29 17:56:10","2017-01-29 18:00:37",82,129,1,1.15,5.5,0,0,6.3,2
"652375","2017-01-20 12:30:18","2017-01-20 12:34:34",258,258,2,0.8,4.5,0,0,5.3,2
"975150","2017-01-29 00:55:09","2017-01-29 01:02:24",97,17,1,1.8,8,0.5,0,9.3,1
"913618","2017-01-27 18:39:30","2017-01-27 19:08:33",236,230,1,2.94,19,1,5.2,26,1
"401628","2017-01-13 08:54:35","2017-01-13 08:58:24",43,236,1,0.66,4.5,0,0,5.3,1
"863754","2017-01-26 12:03:47","2017-01-26 12:16:19",17,256,1,1.93,10,0,0,10.8,2
"622251","2017-01-19 16:34:29","2017-01-19 16:41:43",255,256,1,1.03,6.5,1,1,9.3,1
"165251","2017-01-06 02:08:32","2017-01-06 02:25:17",181,115,1,8.8,25,0.5,0,37.38,1
"1054127","2017-01-31 15:16:31","2017-01-31 15:23:48",121,121,1,1.19,7,0,0,7.8,1
"983333","2017-01-29 04:15:52","2017-01-29 04:23:25",168,159,1,1.5,7.5,0.5,1.75,10.55,1
"689373","2017-01-21 09:49:34","2017-01-21 09:56:14",69,116,1,1.52,7,0,1.56,9.36,1
"479115","2017-01-14 23:42:59","2017-01-14 23:59:41",97,37,1,3.4,14,0.5,0,15.3,2
"683262","2017-01-21 02:52:24","2017-01-21 02:56:16",82,56,1,1.01,5.5,0.5,0,6.8,2
"420368","2017-01-13 18:40:36","2017-01-13 18:52:44",130,10,1,1.88,9.5,1,2.26,13.56,1
"392582","2017-01-12 22:28:16","2017-01-12 22:46:55",65,61,1,4.15,16,0.5,3.46,20.76,1
"493058","2017-01-15 11:15:58","2017-01-15 11:29:54",61,33,1,2.89,12.5,0,3.32,18.57,1
"872210","2017-01-26 17:39:06","2017-01-26 17:52:00",25,228,2,3.24,12,1,0,13.8,2
"713745","2017-01-21 21:24:37","2017-01-21 21:30:39",74,140,5,2.72,10,0.5,2.82,14.12,1
"119228","2017-01-04 19:17:21","2017-01-04 19:21:57",166,151,1,0.87,5.5,1,1.46,8.76,1
"725776","2017-01-22 03:34:21","2017-01-22 03:40:23",255,112,5,1.28,6.5,0.5,0,7.8,2
"760580","2017-01-23 10:18:44","2017-01-23 10:22:15",145,145,3,0.57,4,0,1,5.8,1
"1046667","2017-01-31 10:30:27","2017-01-31 10:47:00",41,236,1,2.14,12,0,3.2,16,1
"795916","2017-01-24 11:21:37","2017-01-24 11:24:53",212,250,1,0.92,5,0,0,5.8,2
"705281","2017-01-21 18:01:20","2017-01-21 18:09:55",74,152,1,1.21,7,0,0,7.8,2
"217481","2017-01-07 12:10:13","2017-01-07 12:19:51",75,74,2,1.5,8,0,0,8.8,2
"568588","2017-01-17 20:04:40","2017-01-17 20:17:14",130,196,1,5.46,17,0.5,0,18.3,1
"122283","2017-01-04 20:21:24","2017-01-04 20:35:05",7,83,1,2.23,11,0.5,0,12.3,2
"860980","2017-01-26 10:15:46","2017-01-26 10:34:52",65,133,3,6.8,22,0,0,22.8,2
"569324","2017-01-17 20:23:45","2017-01-17 20:36:56",42,238,2,2.9,12,0.5,2.66,15.96,1
"989431","2017-01-29 12:13:16","2017-01-29 12:19:28",74,74,1,1.1,6.5,0,0,7.3,2
"725502","2017-01-22 02:06:23","2017-01-22 02:07:24",74,74,1,1,3,0.5,0,4.3,2
"408166","2017-01-13 12:02:26","2017-01-13 12:48:41",97,48,1,8.4,35.5,0,7.26,43.56,1
"1024431","2017-01-30 16:04:27","2017-01-30 16:16:49",260,226,5,1.49,9.5,1,0,11.3,2
"317469","2017-01-10 17:27:40","2017-01-10 17:31:01",181,181,3,0.59,4.5,1,1.26,7.56,1
"176122","2017-01-06 13:54:19","2017-01-06 14:11:48",25,225,1,2.33,12.5,0,2,15.3,1
"727351","2017-01-22 04:45:47","2017-01-22 04:58:26",40,228,1,2.32,11,0.5,0,12.3,2
"451516","2017-01-14 11:31:18","2017-01-14 11:41:19",74,263,2,2.15,9.5,0,2.06,12.36,1
"286689","2017-01-09 17:23:52","2017-01-09 17:29:47",260,129,1,0.95,6,1,1.17,8.97,1
"737298","2017-01-22 14:58:43","2017-01-22 15:10:52",65,17,1,2.46,11,0,0,11.8,2
"781759","2017-01-23 20:40:38","2017-01-23 20:45:24",65,25,1,0.69,5,0.5,1.89,8.19,1
"692143","2017-01-21 11:22:51","2017-01-21 11:40:23",66,90,1,3.55,14.5,0,2.7,18,1
"368225","2017-01-12 08:15:30","2017-01-12 08:17:21",75,74,1,0.8,4,0,0.95,5.75,1
"625132","2017-01-19 17:53:58","2017-01-19 17:59:57",52,40,2,1.12,6,1,1.56,9.36,1
"1064284","2017-01-31 20:36:23","2017-01-31 20:43:52",75,262,1,1.29,7,0.5,0,8.3,2
"1059754","2017-01-31 18:40:20","2017-01-31 18:44:59",179,7,1,0.65,5,1,1.7,8.5,1
"215217","2017-01-07 11:04:38","2017-01-07 11:43:56",129,146,1,3.73,24,0,0,24.8,2
"228223","2017-01-07 20:36:56","2017-01-07 20:50:02",129,56,1,1.78,10,0.5,0,11.3,2
"662513","2017-01-20 17:38:43","2017-01-20 17:56:51",95,179,1,7.5,23,1,0,24.8,2
"868889","2017-01-26 15:56:16","2017-01-26 16:10:29",33,34,1,1.9,11,0,2.35,14.15,1
"125802","2017-01-04 22:15:26","2017-01-04 22:19:14",75,263,1,0.7,4.5,0.5,1.16,6.96,1
"296570","2017-01-09 21:06:18","2017-01-09 21:17:49",166,142,1,3,11,0.5,2.46,14.76,1
"153116","2017-01-05 18:04:18","2017-01-05 18:10:10",75,236,1,1,6,1,0,7.8,2
"380810","2017-01-12 16:26:23","2017-01-12 16:37:28",82,173,1,1.4,8,1,0,9.8,2
"829265","2017-01-25 11:35:07","2017-01-25 12:11:31",74,50,1,5.16,25,0,5.16,30.96,1
"670582","2017-01-20 20:04:03","2017-01-20 20:43:01",62,230,1,10.17,35,0.5,0,36.3,2
"43614","2017-01-02 04:22:40","2017-01-02 04:28:32",37,198,1,1.11,6.5,0.5,2,9.8,1
"943879","2017-01-28 11:28:19","2017-01-28 11:39:26",145,7,1,2.41,11,0,2.95,14.75,1
"288794","2017-01-09 18:31:14","2017-01-09 18:41:26",260,7,1,1.86,9,1,2.16,12.96,1
"713861","2017-01-21 21:52:43","2017-01-21 22:02:53",74,24,1,1.7,8.5,0.5,0,9.8,2
"697127","2017-01-21 14:35:38","2017-01-21 14:39:51",41,42,6,0.97,5,0,1.74,7.54,1
"630105","2017-01-19 19:50:19","2017-01-19 19:59:26",25,17,1,2.01,9,1,2,14.75,1
"17964","2017-01-01 04:52:25","2017-01-01 05:08:54",129,95,2,3.26,14,0.5,0,15.3,1
"183413","2017-01-06 17:28:37","2017-01-06 17:44:32",223,83,1,2.51,13.5,1,3.06,18.36,1
"196259","2017-01-06 21:22:22","2017-01-06 21:34:26",190,97,1,2.3,11,0.5,0,12.3,1
"963096","2017-01-28 20:26:38","2017-01-28 20:31:11",145,145,1,0.79,5,0.5,1.26,7.56,1
"501657","2017-01-15 16:31:39","2017-01-15 16:50:33",243,239,1,6.23,21,0,0,21.8,2
"539726","2017-01-16 22:06:15","2017-01-16 22:12:41",41,75,1,1.3,6.5,0.5,1,8.8,1
"651275","2017-01-20 11:56:39","2017-01-20 12:03:29",52,33,1,1,6,0,0,6.8,2
"552124","2017-01-17 12:57:49","2017-01-17 13:00:45",166,151,1,0.5,4,0,0,4.8,2
"664794","2017-01-20 18:47:18","2017-01-20 18:53:31",41,42,1,1.34,6.5,1,1.66,9.96,1
"290514","2017-01-09 18:53:24","2017-01-09 19:04:02",166,74,5,1.78,9,1,0,10.8,2
"587591","2017-01-18 14:54:27","2017-01-18 15:15:05",75,7,1,5.19,19,0,4.95,24.75,1
"159854","2017-01-05 21:48:57","2017-01-05 22:03:11",66,223,2,9.2,26,0.5,5.45,32.75,1
"642890","2017-01-20 04:11:30","2017-01-21 04:11:11",82,197,1,8.61,30.5,0.5,0,31.8,2
